,meters_made,carries,passes_made,tackles_made,missed_tackles,turnovers_won,try_assists,offloads,clean_breaks,at_home,name,mins_played,is_sub,position_num,playguid,penalty_goals,tries,conversions
82,25,3,5,16,1,2,0,0,1,0.0,Harry Taylor,80.0,0.0,7.0,HT484755,0.0,0.0,0
83,51,12,7,17,1,1,0,1,1,0.0,Jack Clement,80.0,0.0,8.0,JC611903,0.0,0.0,0
84,0,0,0,0,0,0,0,0,0,0.0,Henry Walker,80.0,0.0,16.0,HW640021,0.0,0.0,0
85,0,0,0,1,0,0,0,0,0,0.0,Ciaran Knight,3.0,1.0,1.0,CK610631,0.0,1.0,0
86,6,2,1,0,0,0,0,0,0,0.0,Bryan O'Connor,5.0,1.0,3.0,BO902994,0.0,0.0,0
87,15,3,0,2,0,0,0,0,0,0.0,Cameron Jordan,22.0,1.0,4.0,CJ612963,0.0,0.0,0
88,0,0,0,1,0,0,0,0,0,0.0,Wian Conradie,10.0,1.0,6.0,WC407787,0.0,0.0,0
89,0,0,10,0,1,0,1,0,0,0.0,Charlie Chapman,29.0,1.0,9.0,CC193144,0.0,0.0,0
90,5,1,1,1,0,0,0,0,0,0.0,Tom Seabrook,18.0,1.0,11.0,TS259655,0.0,0.0,0
91,9,1,1,0,0,0,0,0,0,0.0,Jacob Morris,8.0,1.0,14.0,JM666682,0.0,0.0,0
92,39,5,4,1,4,0,0,1,0,1.0,Jacopo Trulla,80.0,0.0,15.0,JT831475,0.0,1.0,0
93,37,2,6,2,0,0,1,0,1,1.0,Giovanni D'Onofrio,70.0,0.0,14.0,GD177548,0.0,0.0,0
94,2,4,4,6,3,0,0,1,0,1.0,Giulio Bisegni,80.0,0.0,13.0,GB528776,0.0,0.0,0
95,35,8,5,13,3,1,0,1,0,1.0,Enrico Lucchin,80.0,0.0,12.0,EL576889,0.0,0.0,0
96,76,10,5,1,3,0,0,0,2,1.0,Mattia Bellini,80.0,0.0,11.0,MB274697,0.0,0.0,0
97,67,4,12,8,1,1,0,0,1,1.0,Antonio Rizzi,57.0,0.0,10.0,AR439440,2.0,0.0,1
98,19,4,28,6,3,1,0,0,0,1.0,Guglielmo Palazzani,57.0,0.0,9.0,GP750500,0.0,0.0,0
99,5,4,0,12,2,0,0,0,0,1.0,Andrea Lovotti,61.0,0.0,1.0,AL817039,0.0,0.0,0
100,5,3,3,11,1,0,0,0,0,1.0,Oliviero Fabiani,65.0,0.0,2.0,OF812782,0.0,0.0,0
101,16,4,1,12,0,3,0,0,0,1.0,Eduardo Bello,66.0,0.0,3.0,EB701383,0.0,0.0,0
102,0,1,1,10,1,0,0,0,0,1.0,Leonard Krumov,65.0,0.0,4.0,LK888817,0.0,0.0,0
103,18,8,12,21,1,0,0,1,0,1.0,Liam Mitchell,80.0,0.0,5.0,LM949756,0.0,0.0,0
104,5,3,2,9,1,0,0,0,0,1.0,Potu Leavasa,65.0,0.0,6.0,PL220948,0.0,0.0,0
105,7,3,3,17,1,4,0,1,0,1.0,Maxime Mbanda,80.0,0.0,7.0,MM788747,0.0,0.0,0
106,12,10,6,12,2,0,0,3,0,1.0,Giovanni Licata,80.0,0.0,8.0,GL577203,0.0,0.0,0
107,0,0,1,1,1,0,0,0,0,1.0,Massimo Ceciliani,15.0,1.0,2.0,MC242767,0.0,0.0,0
108,0,0,0,1,0,0,0,0,0,1.0,Paulo Buonfiglio,19.0,1.0,1.0,PB777900,0.0,0.0,0
109,16,3,0,1,0,0,0,0,0,1.0,Ion Neculai,14.0,1.0,3.0,IN378485,0.0,0.0,0
110,0,0,0,2,2,0,0,0,0,1.0,Andrea Zambonin,15.0,1.0,4.0,AZ450261,0.0,0.0,0
111,1,1,0,4,2,1,0,0,0,1.0,Iacopo Bianchi,15.0,1.0,6.0,JB688163,0.0,0.0,0
112,0,1,5,2,0,1,0,0,0,1.0,Nicolo Casilio,23.0,1.0,9.0,NC167864,0.0,0.0,0
113,37,6,8,1,0,0,0,1,0,1.0,Timothy O'Malley,23.0,1.0,10.0,TO614129,0.0,0.0,0
114,4,2,7,1,0,0,0,1,0,1.0,Junior Laloifi,10.0,1.0,14.0,LL516700,0.0,0.0,0
115,93,10,5,3,1,0,0,0,1,0.0,Romain Lonca,67.0,0.0,15.0,RL899855,0.0,0.0,0
116,37,6,4,4,0,0,1,1,1,0.0,Steeve Barry,80.0,0.0,14.0,SB555210,0.0,0.0,0
117,0,4,5,6,0,0,0,1,0,0.0,Brieuc Plessis-Couillaud,80.0,0.0,13.0,BP496603,0.0,0.0,0
118,105,15,7,8,0,0,1,1,2,0.0,Francois Vergnaud,80.0,0.0,12.0,FV356555,0.0,0.0,0
119,14,8,7,1,0,0,0,1,0,0.0,Yohann Artru,80.0,0.0,11.0,YA417872,0.0,0.0,0
120,2,2,31,1,0,0,0,0,0,0.0,Gilles Bosch,58.0,0.0,10.0,GB313436,0.0,0.0,2
121,10,1,66,5,1,0,0,0,0,0.0,Kerman Aurrekoetxea,37.0,0.0,9.0,KA223077,0.0,0.0,0
122,10,10,0,7,1,1,0,0,0,0.0,Ushangi Tcheishvili,67.0,0.0,1.0,UT338419,0.0,1.0,0
123,7,9,6,8,0,1,0,0,0,0.0,Baptiste Erdocio,80.0,0.0,2.0,BE645813,0.0,1.0,0
124,9,7,0,4,1,0,0,0,0,0.0,Quentin Samaran,61.0,0.0,3.0,QS103674,0.0,0.0,0
125,50,11,5,5,0,0,0,0,0,0.0,Josh Tyrell,66.0,0.0,4.0,JT297629,0.0,0.0,0
126,24,12,2,7,0,0,0,1,0,0.0,Evan Olmstead,80.0,0.0,5.0,EO883315,0.0,0.0,0
127,31,6,3,9,0,2,0,0,1,0.0,Dave O'Callaghan,77.0,0.0,6.0,DO837437,0.0,0.0,0
128,47,9,4,4,1,0,0,0,1,0.0,Antoine Erbani,80.0,0.0,7.0,AE281031,0.0,1.0,0
129,54,8,8,7,1,3,0,0,0,0.0,Steffon Armitage,80.0,0.0,8.0,SA818748,0.0,0.0,0
130,11,1,1,1,1,0,0,0,0,0.0,Billy Scannell,13.0,1.0,1.0,BS429564,0.0,0.0,0
131,0,0,0,0,0,1,0,0,0,0.0,Leo Carella,3.0,1.0,1.0,LC745977,0.0,0.0,0
132,0,1,0,0,0,0,0,0,0,0.0,Vakhtangi Akhobadze,19.0,1.0,3.0,VA684647,0.0,0.0,0
133,1,4,4,4,0,0,0,0,0,0.0,Kevin Gimeno,14.0,1.0,4.0,KG736599,0.0,0.0,0
134,9,1,1,5,0,0,0,1,0,0.0,Mathieu Hirigoyen,3.0,1.0,6.0,MH656073,0.0,0.0,1
135,3,3,20,2,0,0,0,1,0,0.0,Barnabe Couilloud,22.0,1.0,10.0,BC626517,0.0,0.0,0
136,28,3,10,3,1,0,0,2,0,0.0,Brett Herron,80.0,0.0,22.0,BH676191,0.0,0.0,0
137,17,4,3,1,0,0,0,1,1,0.0,Darly Domvo,13.0,1.0,15.0,DD506057,0.0,0.0,0
138,27,7,6,0,0,0,0,0,0,1.0,Alex Goode,80.0,0.0,15.0,AG979668,0.0,1.0,0
139,11,3,1,0,0,0,0,1,0,1.0,Alex Lewington,68.0,0.0,14.0,AL809249,0.0,0.0,0
140,24,6,9,2,1,0,0,1,0,1.0,Elliot Daly,80.0,0.0,13.0,ED181409,0.0,0.0,0
141,6,4,3,2,0,0,0,0,0,1.0,Alex Lozowski,56.0,0.0,12.0,AL146980,0.0,0.0,0
142,8,2,0,3,0,0,0,0,0,1.0,Max Malins,68.0,0.0,11.0,MM832184,0.0,0.0,0
143,19,8,21,5,0,0,0,1,0,1.0,Manu Vunipola,80.0,0.0,10.0,MV922621,2.0,0.0,1
144,0,0,48,2,0,0,0,0,0,1.0,Ivan van Zyl,56.0,0.0,9.0,IV475174,0.0,0.0,0
145,5,13,2,3,0,0,0,0,0,1.0,Mako Vunipola,74.0,0.0,1.0,MV475875,0.0,0.0,0
146,10,3,0,7,1,1,0,0,0,1.0,Kapeli Pifeleti,21.0,0.0,2.0,KP788882,0.0,0.0,0
147,5,3,0,5,0,0,0,0,0,1.0,Alec Clarey,58.0,0.0,3.0,AC798222,0.0,0.0,0
148,23,9,7,6,0,1,0,1,0,1.0,Maro Itoje,80.0,0.0,4.0,MI369148,0.0,0.0,0
149,10,5,0,10,0,0,0,0,0,1.0,Callum Hunter-Hill,64.0,0.0,5.0,CH461248,0.0,0.0,0
150,24,8,5,8,0,0,0,0,1,1.0,Andy Christie,80.0,0.0,6.0,AC758187,0.0,1.0,0
151,33,7,6,5,2,0,0,0,0,1.0,Ben Earl,80.0,0.0,7.0,BE558129,0.0,0.0,0
152,5,4,4,0,0,0,0,0,0,1.0,Billy Vunipola,19.0,0.0,8.0,VV741662,0.0,0.0,0
153,16,10,4,4,0,0,0,0,0,1.0,Ethan Lewis,59.0,1.0,2.0,EL731192,0.0,0.0,0
154,0,1,1,3,0,0,0,0,0,1.0,Eroni Mawi,6.0,1.0,1.0,EM590593,0.0,0.0,0
