,name,mins_played,tries,try_assists,conversions,penalty_goals,drop_goals,meters_made,carries,possession_kicked_pct,meters_kicked,balls_played_by_hand,passes_made,offloads,broken_tackles,knock_ons,tackles_made,missed_tackles,tackle_success_pct,dominant_tackles_pct,turnovers_won,turnovers_conceded,handling_errors,pens_conceded,offside_penalties,scrum_penalties,lineouts_won,lineouts_stolen,YC,RC,at_home,position_num,is_sub,playguid
59,Hamish Watson,80.0,0.0,0.0,0.0,0.0,0.0,16.0,3.0,0.0,0.0,100.0,4.0,0.0,0.0,1.0,14.0,0.0,100.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7,0,HW157577
60,Matt Fagerson,80.0,0.0,0.0,0.0,0.0,0.0,53.0,8.0,0.0,0.0,100.0,1.0,0.0,2.0,0.0,13.0,0.0,100.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1,8,0,MF352745
61,Stuart McInally,29.0,0.0,0.0,0.0,0.0,0.0,19.0,4.0,0.0,0.0,100.0,2.0,1.0,0.0,0.0,4.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,1,SM530829
62,Pierre Schoeman,29.0,0.0,0.0,0.0,0.0,0.0,16.0,3.0,0.0,0.0,100.0,3.0,0.0,1.0,0.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,1,PS298811
63,WP Nel,29.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,4.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6,1,WN551420
64,Sam Skinner,17.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,100.0,1.0,1.0,1.0,0.0,1.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,4,1,SS644622
65,Magnus Bradbury,21.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,3.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,12,1,MB495148
66,Ben White,29.0,1.0,0.0,0.0,0.0,0.0,21.0,2.0,0.0,1.0,95.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,9,1,BW742198
67,Sione Tuipulotu,21.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-1,1,ST886478
68,Freddie Steward,80.0,0.0,0.0,0.0,0.0,0.0,58.0,6.0,0.0,39.0,72.0,2.0,0.0,0.0,0.0,1.0,1.0,50.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,15,0,FS380018
69,Max Malins,80.0,0.0,0.0,0.0,0.0,0.0,116.0,9.0,0.0,35.0,81.0,2.0,2.0,1.0,0.0,6.0,1.0,85.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14,0,MM832184
70,Elliot Daly,80.0,0.0,0.0,0.0,0.0,0.0,29.0,5.0,0.0,50.0,80.0,4.0,1.0,1.0,0.0,6.0,2.0,75.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13,0,ED181409
71,Henry Slade,80.0,0.0,0.0,0.0,0.0,0.0,44.0,7.0,0.0,123.0,85.0,5.0,0.0,1.0,0.0,3.0,1.0,75.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12,0,HS586007
72,Joe Marchant,80.0,0.0,0.0,0.0,0.0,0.0,19.0,4.0,0.0,0.0,100.0,1.0,0.0,0.0,1.0,5.0,1.0,83.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11,0,JM952052
73,Marcus Smith,63.0,1.0,0.0,0.0,4.0,0.0,26.0,4.0,0.0,133.0,78.0,15.0,1.0,0.0,0.0,2.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10,0,MS438642
74,Ben Youngs,80.0,0.0,1.0,0.0,0.0,0.0,19.0,3.0,0.0,456.0,78.0,61.0,1.0,1.0,0.0,5.0,1.0,83.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9,0,BY523643
75,Ellis Genge,63.0,0.0,0.0,0.0,0.0,0.0,26.0,5.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,8.0,1.0,88.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,EG908747
76,Luke Cowan-Dickie,66.0,0.0,0.0,0.0,0.0,0.0,38.0,8.0,0.0,34.0,90.0,1.0,0.0,3.0,0.0,5.0,0.0,100.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2,0,LC148807
77,Kyle Sinckler,63.0,0.0,0.0,0.0,0.0,0.0,36.0,10.0,0.0,0.0,100.0,6.0,0.0,0.0,0.0,10.0,0.0,100.0,10.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,KS314500
78,Maro Itoje,80.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0,0.0,0.0,100.0,4.0,0.0,0.0,0.0,6.0,2.0,75.0,12.0,1.0,1.0,0.0,2.0,1.0,0.0,6.0,0.0,0.0,0.0,0,4,0,MI369148
79,Nick Isiekwe,76.0,0.0,0.0,0.0,0.0,0.0,17.0,4.0,0.0,0.0,100.0,4.0,0.0,0.0,0.0,5.0,1.0,83.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,7.0,0.0,0.0,0.0,0,5,0,NI437601
80,Lewis Ludlam,63.0,0.0,0.0,0.0,0.0,0.0,56.0,8.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,7.0,2.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0,6,0,LL840089
81,Tom Curry,80.0,0.0,0.0,0.0,0.0,0.0,40.0,9.0,0.0,0.0,100.0,3.0,1.0,0.0,0.0,11.0,3.0,78.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7,0,TC478587
82,Sam Simmonds,73.0,0.0,0.0,0.0,0.0,0.0,74.0,9.0,0.0,0.0,100.0,1.0,1.0,1.0,0.0,6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8,0,SS343221
83,Jamie George,11.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8,1,JG594765
84,Joe Marler,17.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,JM130488
85,Will Stuart,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,1,WS816688
86,Charlie Ewels,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11,1,CE445208
87,Alex Dombrandt,17.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6,1,AD528464
88,George Ford,17.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,100.0,2.0,0.0,0.0,0.0,5.0,1.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10,1,GF392165
89,Jack Nowell,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,1,JN875222
90,Melvyn Jaminet,75.0,0.0,1.0,2.0,2.0,0.0,43.0,8.0,0.0,326.0,66.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,15,0,MJ276990
91,Damian Penaud,80.0,1.0,0.0,0.0,0.0,0.0,98.0,8.0,0.0,78.0,88.0,9.0,1.0,5.0,1.0,5.0,1.0,83.0,33.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,14,0,DP646434
92,Gael Fickou,80.0,0.0,0.0,0.0,0.0,0.0,33.0,5.0,0.0,11.0,91.0,6.0,0.0,2.0,0.0,9.0,0.0,100.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,13,0,GF207020
93,Jonathan Danty,57.0,0.0,0.0,0.0,0.0,0.0,54.0,6.0,0.0,22.0,90.0,4.0,0.0,4.0,0.0,2.0,0.0,100.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12,0,JD100273
94,Gabin Villiere,80.0,3.0,0.0,0.0,0.0,0.0,120.0,13.0,0.0,46.0,93.0,2.0,0.0,5.0,2.0,1.0,0.0,100.0,0.0,1.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,11,0,GV604147
95,Romain Ntamack,80.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,296.0,73.0,25.0,0.0,0.0,0.0,10.0,0.0,100.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10,0,RN981435
96,Antoine Dupont,69.0,0.0,1.0,0.0,0.0,0.0,33.0,6.0,0.0,329.0,87.0,65.0,1.0,0.0,0.0,6.0,0.0,100.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,9,0,AD427633
97,Cyril Baille,50.0,0.0,0.0,0.0,0.0,0.0,26.0,4.0,0.0,0.0,100.0,4.0,1.0,1.0,0.0,2.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,CB879230
