,meters_made,carries,passes_made,tackles_made,missed_tackles,turnovers_won,turnovers_conceded,defenders_beaten,try_assists,offloads,clean_breaks,lineouts_won,lineouts_stolen,at_home,name,mins_played,is_sub,position_num,playguid,penalty_goals,tries,conversions
129,0,2,0,7,1,0,1,0,0,0,0,0,0,0,Henry Walker,31,1,2,HW640021,0,0,0
130,1,1,0,4,0,1,0,0,0,0,0,0,0,0,Jamal Ford-Robinson,31,1,1,JF619423,0,0,0
131,2,4,1,4,1,0,0,0,0,0,0,0,0,0,Kirill Gotovtsev,31,1,3,KG899842,0,0,0
132,17,4,2,7,0,0,1,1,0,0,1,1,0,0,Freddie Clarke,31,1,9,FC501339,0,0,0
133,2,3,0,6,0,0,0,0,0,0,0,2,0,0,Ruan Ackermann,21,1,4,RA293163,0,0,0
134,31,4,3,1,1,0,1,2,0,0,0,0,0,0,Adam Hastings,20,1,15,AH313483,0,0,0
135,6,2,0,2,1,0,1,0,0,0,0,0,0,0,Giorgi Kveseladze,20,1,13,GK300902,0,0,0
136,57,5,7,3,1,2,0,2,0,3,0,0,0,1,Melani Nanai,46,0,15,MN727559,0,1,0
137,32,4,0,3,4,0,0,0,0,0,0,1,0,1,Noah Heward,80,0,14,NH576853,0,0,0
138,52,5,5,4,5,0,3,2,0,1,0,0,0,1,Ollie Lawrence,80,0,13,OL421360,0,0,0
139,9,2,5,11,2,0,1,0,1,0,0,0,0,1,Francois Venter,80,0,12,JV998880,0,0,0
140,100,4,3,5,1,0,2,3,0,0,1,0,0,1,Perry Humphreys,80,0,11,PH946079,0,1,0
141,20,3,10,6,5,0,2,0,0,0,0,0,0,1,Owen Williams,74,0,10,OW499460,1,0,0
142,79,3,24,6,0,0,0,2,0,0,2,0,0,1,Willi Heinz,53,0,9,WH931587,0,1,0
143,5,3,2,5,0,0,0,0,0,0,0,0,0,1,Ethan Waller,44,0,1,EW846348,0,0,0
144,0,1,2,8,2,1,0,0,0,0,0,0,0,1,Scott Baldwin,66,0,2,SB772508,0,0,0
145,0,1,0,4,2,0,0,0,0,0,0,0,0,1,Christian Judge,74,0,3,CJ241057,0,0,0
146,7,4,2,6,2,2,0,0,0,0,0,2,0,1,Kyle Hatherell,42,0,4,KH157231,0,0,0
147,0,1,0,7,1,0,0,0,0,0,0,1,0,1,Justin Clegg,57,0,5,JC308530,0,0,0
148,21,7,3,7,1,0,0,1,1,0,0,1,0,1,Ted Hill,80,0,6,TH269409,0,0,0
149,21,6,4,19,2,1,0,0,0,1,0,0,0,1,Samuel Lewis,80,0,7,SL298387,0,1,0
150,28,11,2,13,1,1,4,1,0,1,0,2,0,1,Matt Kvesic,80,0,8,MK726490,0,1,0
151,8,2,1,1,0,0,0,0,0,1,0,0,0,1,Niall Annett,14,1,2,NA757073,0,0,0
152,2,1,1,5,0,0,1,0,0,0,0,0,0,1,Marc Thomas,36,1,1,MT799689,0,0,0
153,1,3,1,2,0,1,0,0,0,0,0,0,0,1,Jack Owlett,6,1,3,JO388285,0,0,0
154,0,2,1,5,0,0,0,0,0,0,0,0,0,1,Matt Garvey,38,1,4,MG413461,0,0,0
155,0,0,2,4,1,0,0,0,0,0,0,2,0,1,Graham Kitchener,23,1,5,GK904436,0,0,0
156,0,0,11,4,0,0,0,0,0,0,0,0,0,1,Will Chudley,27,1,9,WC675291,0,0,0
157,19,3,3,0,1,0,0,1,0,0,0,0,0,1,James Shillcock,34,1,15,JS140995,0,0,0
158,0,0,0,3,0,0,0,0,0,0,0,0,0,1,Oli Morris,6,1,10,OL112103,0,0,0
159,81,11,3,0,0,0,2,2,0,1,1,0,0,0,Tom Parton,74,0,15,TP933909,0,0,0
160,37,4,6,6,1,0,0,5,0,1,1,0,0,0,Kyle Rowe,80,0,14,KR690798,0,0,0
161,25,7,3,5,0,1,0,5,0,1,0,0,0,0,Curtis Rona,74,0,13,CR966798,0,0,0
162,31,7,9,4,2,1,3,1,0,0,0,0,0,0,Benhard Janse van Rensburg,80,0,12,BJ830229,0,0,0
163,66,8,3,3,0,0,1,5,0,1,3,0,0,0,Ollie Hassell-Collins,80,0,11,OH128338,0,1,0
164,29,4,31,2,2,0,2,1,1,0,0,0,0,0,Paddy Jackson,80,0,10,PJ780026,0,0,0
165,54,2,38,6,1,2,2,5,0,0,1,0,0,0,Ben White,57,0,9,BW742198,0,0,0
166,3,3,0,2,0,0,0,0,0,0,0,0,0,0,William Goodrick-Clarke,57,0,1,WG244961,0,0,0
