,meters_made,carries,passes_made,tackles_made,missed_tackles,turnovers_won,try_assists,offloads,clean_breaks,at_home,name,mins_played,is_sub,position_num,playguid,penalty_goals,tries,conversions
85,5,1,0,2,0,0,0,0,0,0.0,Arthur Cordwell,13.0,1.0,1.0,AC412599,0.0,0.0,0
86,3,2,0,2,2,0,0,0,0,0.0,D'Arcy Rae,21.0,1.0,3.0,DR109344,0.0,0.0,0
87,2,3,2,3,0,0,0,0,0,0.0,Will Spencer,29.0,1.0,4.0,WS957900,0.0,0.0,0
88,0,1,0,4,0,1,0,0,0,0.0,Ewan Richards,21.0,1.0,8.0,ER879104,0.0,1.0,0
89,0,0,22,0,0,0,1,0,0,0.0,Joe Simpson,13.0,1.0,9.0,JS782283,0.0,0.0,0
90,25,3,3,1,0,0,0,1,1,0.0,Gabriel Hamer-Webb,10.0,1.0,11.0,GH999042,0.0,0.0,0
91,0,0,0,0,0,0,0,0,0,0.0,Tom Prydie,13.0,1.0,15.0,TP340656,0.0,0.0,0
92,80,10,3,1,0,0,0,0,1,1.0,Nans Ducuing,74.0,0.0,15.0,ND857383,0.0,0.0,0
93,54,4,0,2,0,0,0,0,0,1.0,Federico Mori,80.0,0.0,14.0,FM677009,0.0,0.0,0
94,27,9,3,5,1,1,0,0,1,1.0,Jean-Baptiste Dubie,80.0,0.0,13.0,JD838957,0.0,1.0,0
95,8,7,7,3,3,0,1,2,0,1.0,Yoram Moefana,80.0,0.0,12.0,YM654200,0.0,0.0,0
96,85,8,4,4,0,2,0,1,1,1.0,Ben Lam,80.0,0.0,11.0,BL155798,0.0,0.0,0
97,18,4,9,3,0,0,0,0,0,1.0,Francois Trinh-Duc,60.0,0.0,10.0,FT886591,0.0,0.0,0
98,56,7,54,2,2,2,0,1,1,1.0,Maxime Lucu,80.0,0.0,9.0,ML148389,2.0,0.0,1
99,1,3,1,2,0,0,0,0,0,1.0,Jefferson Poirot,17.0,0.0,1.0,JP280519,0.0,0.0,0
100,3,3,1,1,1,0,0,0,0,1.0,Clément Maynadier,48.0,0.0,2.0,CM355402,0.0,0.0,0
101,12,7,0,0,1,0,0,0,0,1.0,Ben Tameifuna,48.0,0.0,3.0,BT208127,0.0,0.0,0
102,2,1,4,4,0,0,0,0,0,1.0,Kane Douglas,27.0,0.0,4.0,KD269457,0.0,0.0,0
103,2,2,0,3,0,0,0,0,0,1.0,Thomas Jolmes,54.0,0.0,5.0,TJ824002,0.0,0.0,0
104,28,3,2,5,0,1,0,1,0,1.0,Cameron Woki,74.0,0.0,6.0,CW541496,0.0,0.0,0
105,1,3,4,3,0,0,0,1,0,1.0,Bastien Vergnes Taillefer,80.0,0.0,7.0,BV594539,0.0,0.0,0
106,22,4,5,2,1,1,0,0,0,1.0,Louis Picamoles,80.0,0.0,8.0,LP178543,0.0,0.0,0
107,6,4,2,3,0,0,0,0,0,1.0,Joseph Dweba,32.0,1.0,2.0,JD969645,0.0,0.0,0
108,12,5,1,2,1,0,0,1,0,1.0,Thierry Paiva,63.0,1.0,1.0,TP703257,0.0,0.0,0
109,2,5,0,2,0,0,0,0,0,1.0,Lekso Kaulashvili,32.0,1.0,3.0,LK465114,0.0,0.0,0
110,3,3,1,2,0,0,0,0,0,1.0,Alban Roussel,26.0,1.0,5.0,AR319878,0.0,0.0,0
111,0,0,1,1,0,0,0,0,0,1.0,Alexandre Roumat,6.0,1.0,6.0,AR131820,0.0,0.0,0
112,0,0,0,0,0,0,0,0,0,1.0,Yann Lesgourgues,80.0,0.0,21.0,YL483634,0.0,0.0,0
113,16,3,4,2,1,0,0,0,1,1.0,Ulupano Seuteni,20.0,1.0,10.0,US395214,0.0,0.0,0
114,10,1,1,0,0,0,0,0,0,1.0,Santiago Cordero,6.0,1.0,15.0,SC883498,0.0,0.0,0
115,28,6,9,3,3,0,1,1,1,0.0,Bryce Hegarty,80.0,0.0,15.0,BH665005,0.0,0.0,0
116,2,3,3,8,2,2,0,0,0,0.0,Harry Potter,80.0,0.0,14.0,HP136103,0.0,0.0,0
117,16,5,0,0,2,0,0,0,0,0.0,Guy Porter,64.0,0.0,13.0,GP493738,0.0,1.0,0
118,0,2,2,5,0,3,0,0,1,0.0,Matt Scott,80.0,0.0,12.0,MS156720,0.0,0.0,0
119,4,2,1,2,0,0,0,0,0,0.0,Hosea Saumaki,53.0,0.0,11.0,HS362380,0.0,0.0,0
120,43,6,18,3,1,0,0,0,0,0.0,George Ford,80.0,0.0,10.0,GF392165,3.0,0.0,1
121,2,1,25,2,1,0,0,0,0,0.0,Jack van Poortvliet,53.0,0.0,9.0,JV904195,0.0,0.0,0
122,4,6,4,5,0,0,0,1,0,0.0,Ellis Genge,80.0,0.0,1.0,EG908747,0.0,0.0,0
123,0,0,2,6,0,0,0,0,0,0.0,Nic Dolly,60.0,0.0,2.0,ND508012,0.0,0.0,0
124,0,0,0,6,0,0,0,0,0,0.0,Joe Heyes,54.0,0.0,3.0,JH461608,0.0,0.0,0
125,2,2,4,6,0,2,0,0,0,0.0,Ollie Chessum,80.0,0.0,4.0,OC182987,0.0,0.0,0
126,0,0,3,5,0,0,0,0,0,0.0,Calum Green,60.0,0.0,5.0,CG647423,0.0,0.0,0
127,3,5,4,13,1,1,0,0,0,0.0,George Martin,80.0,0.0,6.0,GM767405,0.0,0.0,0
128,20,4,2,16,1,1,0,0,1,0.0,Tommy Reffell,80.0,0.0,7.0,TR815440,0.0,0.0,0
129,24,6,1,5,0,0,0,0,0,0.0,Jasper Wiese,54.0,0.0,8.0,JW757932,0.0,0.0,0
130,0,0,1,4,0,0,0,0,0,0.0,Charlie Clare,20.0,1.0,2.0,CC233403,0.0,0.0,0
131,0,0,0,0,0,0,0,0,0,0.0,James Whitcombe,80.0,0.0,17.0,JW461305,0.0,0.0,0
132,3,1,0,1,1,0,0,0,0,0.0,Dan Cole,26.0,1.0,3.0,DC242003,0.0,0.0,0
133,0,0,1,6,0,0,0,0,0,0.0,Harry Wells,20.0,1.0,5.0,HW230339,0.0,0.0,0
134,2,3,0,4,2,1,0,0,0,0.0,Marco van Staden,26.0,1.0,8.0,MV771566,0.0,0.0,0
135,0,0,11,2,1,0,0,0,0,0.0,Richard Wigglesworth,27.0,1.0,9.0,RW394896,0.0,0.0,0
136,10,1,1,3,0,0,0,1,0,0.0,Juan Pablo Socino,16.0,1.0,13.0,JS419899,0.0,0.0,0
137,11,1,0,1,0,0,0,0,0,0.0,Kini Murimurivalu,27.0,1.0,11.0,KM303791,0.0,0.0,0
138,41,8,6,2,0,0,0,2,0,1.0,Cheikh Tiberghien,78.0,0.0,15.0,CT511786,0.0,0.0,0
139,55,10,6,6,6,2,0,2,1,1.0,Damian Penaud,80.0,0.0,14.0,DP646434,0.0,2.0,0
140,14,3,5,7,3,0,0,0,0,1.0,Jean Pascal Barraque,64.0,0.0,13.0,JB487226,0.0,0.0,0
141,32,9,4,9,2,1,1,0,0,1.0,Tani Vili,80.0,0.0,12.0,TV626071,0.0,0.0,0
142,101,13,4,5,4,2,0,0,3,1.0,Alivereti Raka,80.0,0.0,11.0,AR113428,0.0,0.0,0
143,106,9,27,7,2,0,0,0,2,1.0,JJ Hanrahan,80.0,0.0,10.0,JH401968,3.0,0.0,2
144,0,0,42,10,2,0,0,0,0,1.0,Kevin Viallard,51.0,0.0,9.0,KV770236,0.0,0.0,0
145,11,5,4,8,0,0,0,0,0,1.0,Peni Ravai,58.0,0.0,1.0,PR696568,0.0,0.0,0
146,1,3,3,11,1,1,0,0,0,1.0,Yohan Beheregaray,73.0,0.0,2.0,YB566821,0.0,0.0,0
147,2,1,2,8,1,0,0,0,0,1.0,Rabah Slimani,58.0,0.0,3.0,RS653416,0.0,0.0,0
148,3,2,0,8,0,0,0,0,0,1.0,Jacobus van Tonder,46.0,0.0,4.0,JV757713,0.0,0.0,0
149,38,6,4,13,1,0,0,0,0,1.0,Sebastien Vahaamahina,80.0,0.0,5.0,SV347591,0.0,0.0,0
150,2,2,5,13,1,0,0,0,0,1.0,Arthur Iturria,80.0,0.0,6.0,AI426869,0.0,0.0,0
151,23,11,4,11,1,1,0,2,0,1.0,Peceli Yato,80.0,0.0,7.0,PY241937,0.0,0.0,0
152,32,10,6,15,2,1,0,0,0,1.0,Fritz Lee,69.0,0.0,8.0,FL216222,0.0,0.0,0
153,0,1,0,1,0,0,0,0,0,1.0,Benjamin Boudou,7.0,1.0,2.0,BB705700,0.0,0.0,0
154,0,0,0,4,0,0,0,0,0,1.0,Etienne Falgoux,22.0,1.0,1.0,EF289577,0.0,0.0,0
155,2,2,0,2,0,0,0,0,0,1.0,Cristian Ojovan,22.0,1.0,3.0,CO122856,0.0,0.0,0
156,9,3,1,2,1,0,0,0,0,1.0,Thibaud Lanen,80.0,0.0,19.0,TL682181,0.0,0.0,0
157,0,0,0,0,0,0,0,0,0,1.0,Lucas Dessaigne,11.0,1.0,8.0,LD859734,0.0,0.0,0
158,0,2,28,2,0,0,0,1,0,1.0,Sebastien Bezy,29.0,1.0,9.0,SB276909,0.0,0.0,0
159,2,1,0,0,0,0,0,0,0,1.0,Gabin Michet,80.0,0.0,22.0,GM719376,0.0,0.0,0
160,2,1,2,2,0,0,0,0,0,1.0,Marvin O'Connor,16.0,1.0,13.0,MO472000,0.0,0.0,0
161,79,9,10,2,2,0,0,1,2,0.0,Michael Lowry,75.0,0.0,15.0,ML122221,0.0,0.0,0
162,55,7,1,0,1,0,0,1,0,0.0,Robert Baloucoune,36.0,0.0,14.0,RB840443,0.0,0.0,0
163,90,11,6,8,0,0,0,4,2,0.0,James Hume,80.0,0.0,13.0,JH441458,0.0,0.0,0
164,63,15,9,5,0,0,0,2,1,0.0,Stuart McCloskey,80.0,0.0,12.0,SM262679,0.0,1.0,0
165,48,8,4,4,1,1,0,0,0,0.0,Ethan McIlroy,80.0,0.0,11.0,EM774998,0.0,0.0,0
166,5,1,24,5,4,0,0,0,0,0.0,Billy Burns,80.0,0.0,10.0,BB985761,0.0,0.0,0
167,18,4,66,6,2,1,1,1,0,0.0,John Cooney,80.0,0.0,9.0,JC189310,5.0,0.0,2
168,1,2,0,2,1,0,0,0,0,0.0,Andrew Warwick,52.0,0.0,1.0,AW108242,0.0,0.0,0
169,16,5,1,11,3,2,0,0,0,0.0,Rob Herring,80.0,0.0,2.0,RH218431,0.0,0.0,0
170,8,6,1,15,0,0,0,0,0,0.0,Tom O'Toole,68.0,0.0,3.0,TO709079,0.0,0.0,0
171,6,6,3,11,1,0,0,0,0,0.0,Alan O'Connor,80.0,0.0,4.0,AO811597,0.0,0.0,0
172,4,4,3,8,2,0,0,0,0,0.0,Kieran Treadwell,62.0,0.0,5.0,KT442140,0.0,0.0,0
173,32,10,4,11,0,0,0,2,0,0.0,Marcus Rea,62.0,0.0,6.0,MR198589,0.0,0.0,0
174,31,8,4,10,2,0,0,1,0,0.0,Nick Timoney,80.0,0.0,7.0,NT240062,0.0,1.0,0
175,20,11,0,5,0,0,0,0,0,0.0,Duane Vermeulen,50.0,0.0,8.0,DV791267,0.0,0.0,0
176,0,0,0,0,0,0,0,0,0,0.0,John Andrew,80.0,0.0,16.0,JA824074,0.0,0.0,0
177,2,1,0,5,2,0,0,0,0,0.0,Jack McGrath,28.0,1.0,1.0,JM473298,0.0,0.0,0
178,0,0,0,2,2,0,0,0,0,0.0,Ross Kane,12.0,1.0,3.0,RK421805,0.0,0.0,0
179,12,3,2,1,1,0,0,0,0,0.0,Sam Carter,18.0,1.0,6.0,SC394861,0.0,0.0,0
180,1,2,3,8,0,0,0,0,0,0.0,Greg Jones,30.0,1.0,8.0,GJ727817,0.0,0.0,0
181,0,0,0,0,0,0,0,0,0,0.0,Nathan Doak,5.0,1.0,15.0,ND779825,0.0,0.0,0
182,0,0,1,1,0,0,0,0,0,0.0,Stewart Moore,44.0,1.0,14.0,SM716125,0.0,0.0,0
183,4,2,2,3,0,0,0,0,0,0.0,Sean Reidy,18.0,1.0,5.0,SR323981,0.0,0.0,0
184,30,12,7,3,1,0,0,1,1,1.0,Stuart Hogg,67.0,0.0,15.0,SH109757,0.0,1.0,0
185,38,13,3,3,0,0,0,0,1,1.0,Jack Nowell,80.0,0.0,14.0,JN875222,0.0,0.0,0
186,28,10,7,0,0,0,0,0,0,1.0,Henry Slade,61.0,0.0,13.0,HS586007,0.0,0.0,0
187,28,9,3,2,1,0,0,0,0,1.0,Ian Whitten,80.0,0.0,12.0,IW695430,0.0,0.0,0
188,35,5,2,2,1,0,0,0,1,1.0,Tom O'Flaherty,80.0,0.0,11.0,TO575734,0.0,0.0,0
189,33,7,17,3,1,0,1,1,0,1.0,Joe Simmonds,80.0,0.0,10.0,JS753060,0.0,0.0,6
190,4,4,77,2,0,0,1,0,0,1.0,Jack Maunder,61.0,0.0,9.0,JM797663,0.0,0.0,0
191,17,11,4,5,0,0,0,0,0,1.0,Alec Hepburn,63.0,0.0,1.0,AH202666,0.0,0.0,0
192,14,11,1,5,2,1,0,0,0,1.0,Luke Cowan-Dickie,61.0,0.0,2.0,LC148807,0.0,0.0,0
193,11,6,0,3,0,0,0,0,0,1.0,Josh Iosefa-Scott,41.0,0.0,3.0,JI446040,0.0,0.0,0
194,25,12,5,11,0,0,0,1,0,1.0,Jonny Gray,80.0,0.0,4.0,JG454407,0.0,3.0,0
195,6,8,3,12,0,0,1,0,0,1.0,Jonny Hill,71.0,0.0,5.0,JH236398,0.0,0.0,0
196,31,9,1,10,0,0,0,0,0,1.0,Dave Ewers,58.0,0.0,6.0,DE456160,0.0,0.0,0
197,39,11,10,6,0,0,1,0,1,1.0,Sam Skinner,80.0,0.0,7.0,SS644622,0.0,0.0,0
198,26,13,6,11,3,0,0,0,1,1.0,Sam Simmonds,80.0,0.0,8.0,SS343221,0.0,1.0,0
199,15,3,1,3,1,0,0,0,0,1.0,Jack Yeandle,19.0,1.0,2.0,JY505871,0.0,0.0,0
200,10,3,1,2,1,0,0,0,0,1.0,James Kenny,17.0,1.0,1.0,JK472540,0.0,1.0,0
201,7,4,0,5,0,1,0,0,0,1.0,Sam Nixon,39.0,1.0,3.0,SN390300,0.0,0.0,0
202,2,1,0,1,0,0,0,0,0,1.0,Don Armand,9.0,1.0,5.0,DA401740,0.0,0.0,0
203,1,2,0,2,1,0,0,0,0,1.0,Jannes Kirsten,22.0,1.0,6.0,JK748722,0.0,0.0,0
204,9,2,31,2,1,0,0,1,0,1.0,Sam Maunder,19.0,1.0,9.0,SM290029,0.0,0.0,0
205,1,1,6,3,0,0,0,0,0,1.0,Harvey Skinner,13.0,1.0,15.0,HS767035,0.0,0.0,0
206,13,5,1,0,0,0,0,0,0,1.0,Tom Hendrickson,19.0,1.0,13.0,TH830936,0.0,0.0,0
207,14,8,1,5,0,0,0,0,0,0.0,Julien Tisseron,80.0,0.0,15.0,JT111810,0.0,0.0,0
208,26,8,2,5,2,2,0,1,0,0.0,Josua Vici,80.0,0.0,14.0,JV155203,0.0,0.0,0
209,3,2,1,9,1,0,0,0,0,0.0,Yvan Reilhac,80.0,0.0,13.0,YR498045,0.0,0.0,0
210,4,3,1,20,2,0,0,0,0,0.0,Thomas Darmon,80.0,0.0,12.0,TD281474,0.0,0.0,0
211,20,4,3,11,1,0,0,1,0,0.0,Gabriel Ngandebe,80.0,0.0,11.0,GN124872,0.0,0.0,0
212,13,4,4,6,4,0,0,0,0,0.0,Louis Foursans-Bourdette,67.0,0.0,10.0,LF839627,2.0,0.0,0
213,13,2,32,6,0,0,0,1,0,0.0,Gela Aprasidze,61.0,0.0,9.0,GA690368,0.0,0.0,0
214,10,5,2,18,0,0,0,0,0,0.0,Enzo Forletta,50.0,0.0,1.0,EF866291,0.0,0.0,0
215,0,1,1,14,1,1,0,0,0,0.0,Brandon Paenga-Amosa,52.0,0.0,2.0,BP609237,0.0,0.0,0
216,3,3,1,12,0,0,0,0,0,0.0,Henry Thomas,61.0,0.0,3.0,HT207549,0.0,0.0,0
217,4,3,2,19,2,0,0,1,0,0.0,Mickael Capelli,56.0,0.0,4.0,MC199161,0.0,0.0,0
218,16,11,2,19,3,0,0,0,0,0.0,Bastien Chalureau,80.0,0.0,5.0,BC559379,0.0,0.0,0
219,0,0,4,17,4,0,0,0,0,0.0,Nicolaas Janse van Rensburg,80.0,0.0,6.0,NJ377867,0.0,0.0,0
220,6,5,1,9,2,0,0,1,0,0.0,Jeremie Maurouard,58.0,0.0,7.0,JM220914,0.0,0.0,0
221,16,4,1,13,1,0,0,0,0,0.0,Kélian Galletier,71.0,0.0,8.0,KG484311,0.0,0.0,0
222,3,3,0,7,0,1,0,0,0,0.0,Guilhem Guirado,28.0,1.0,2.0,GG975106,0.0,0.0,0
223,0,1,0,6,0,0,0,0,0,0.0,Robert Rodgers,30.0,1.0,1.0,RR230771,0.0,0.0,0
224,3,1,0,4,1,0,0,0,0,0.0,Malik Hamadache,19.0,1.0,3.0,MH659792,0.0,0.0,0
225,3,3,0,1,0,0,0,0,0,0.0,Zach Mercer,9.0,1.0,8.0,ZM593592,0.0,0.0,0
226,0,0,10,2,0,0,0,0,0,0.0,Aubin Eymeri,19.0,1.0,9.0,AA594608,0.0,0.0,0
227,0,0,0,3,0,0,0,0,0,0.0,Pierre Lucas,13.0,1.0,10.0,PL758161,0.0,0.0,0
