,Player,MP,T,TA,C,P,DG,M,CA,PK(%),MK,BH(%),PM,O,BTs,Kon,TM,MT,TS(%),DT(%),TW,TC,HE,PC,OPC,SPC,LW,LS,YC,RC,at_home,pos_num_x,is_sub,PlayGuid,T_per80m,TA_per80m,C_per80m,P_per80m,DG_per80m,M_per80m,CA_per80m,MK_per80m,PM_per80m,O_per80m,BTs_per80m,Kon_per80m,TM_per80m,MT_per80m,TW_per80m,TC_per80m,HE_per80m,PC_per80m,OPC_per80m,SPC_per80m,LW_per80m,LS_per80m,YC_per80m,RC_per80m,TS(%)_per80m,TW(%)_per80m,MpCA_per80m,pos_num_y
636,Fraser Brown,29.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,5.0,1.0,86.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1,FB780216,0.0,0.0,0.0,0.0,0.0,15.318309315466715,7.659154657733358,0.0,1.9147886644333394,0.0,0.0,0.0,9.573943322166697,1.9147886644333394,1.9147886644333394,1.9147886644333394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333333,0.5,2.0,2
637,Allan Dell,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,AD320497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1
638,WP Nel,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,80.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,1,WN551420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.378101942183736,2.126033980727912,0.0,0.0,0.0,4.252067961455824,0.0,0.0,0.0,0.0,0.0,0.0,0.7500000000000001,,,3
639,Sam Skinner,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,7.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,-1,1,SS644622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9147886644333394,0.0,0.0,0.0,13.403520651033375,0.0,1.9147886644333394,0.0,0.0,0.0,0.0,0.0,1.9147886644333394,0.0,0.0,0.0,1.0,1.0,,4
640,Josh Bayliss,18.0,0.0,0.0,0.0,0.0,0.0,27.0,4.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,8,1,JB479472,0.0,0.0,0.0,0.0,0.0,72.82359928750277,10.788681375926338,0.0,2.6971703439815844,0.0,0.0,0.0,0.0,0.0,2.6971703439815844,0.0,0.0,0.0,0.0,0.0,2.6971703439815844,0.0,0.0,0.0,,1.0,6.749999999999999,8
641,Ben White,17.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,67.0,93.0,12.0,0.0,2.0,0.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,9,1,BW742198,0.0,0.0,0.0,0.0,0.0,33.76133074586197,2.8134442288218313,188.5007633310627,33.76133074586197,0.0,5.626888457643663,0.0,2.8134442288218313,0.0,0.0,0.0,0.0,2.8134442288218313,0.0,0.0,0.0,0.0,2.8134442288218313,0.0,1.0,,11.999999999999998,9
642,Finn Russell,14.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,76.0,50.0,1.0,0.0,0.0,0.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13,1,FR608838,0.0,0.0,0.0,0.0,0.0,9.75710209890384,3.25236736630128,247.17991983889726,3.25236736630128,0.0,0.0,0.0,3.25236736630128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,3.0,10
643,Mark Bennett,19.0,0.0,0.0,0.0,0.0,0.0,19.0,3.0,0.0,0.0,100.0,1.0,0.0,1.0,0.0,2.0,0.0,100.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12,1,MB765983,0.0,0.0,0.0,0.0,0.0,49.250882198777255,7.776455084017461,0.0,2.592151694672487,0.0,2.592151694672487,0.0,5.184303389344974,0.0,0.0,2.592151694672487,2.592151694672487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.333333333333334,13
644,Melvyn Jaminet,76.0,0.0,0.0,2.0,2.0,0.0,51.0,13.0,0.0,253.0,75.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,15,0,MJ276990,0.0,0.0,2.059387430626906,2.059387430626906,0.0,52.51437948098611,13.386018299074891,260.51250997430367,3.0890811459403595,1.029693715313453,3.0890811459403595,0.0,0.0,0.0,0.0,2.059387430626906,1.029693715313453,0.0,0.0,0.0,1.029693715313453,0.0,0.0,0.0,,0.0,3.923076923076923,15
645,Damian Penaud,80.0,0.0,0.0,0.0,0.0,0.0,14.0,3.0,0.0,50.0,80.0,3.0,0.0,3.0,0.0,7.0,0.0,100.0,13.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14,0,DP646434,0.0,0.0,0.0,0.0,0.0,14.0,3.0,50.0,3.0,0.0,3.0,0.0,7.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.666666666666667,14
