,,M_per80m,M_per80m,C_per80m,C_per80m,P_per80m,P_per80m,T_per80m,T_per80m,MT_per80m,MT_per80m,TW_per80m,TW_per80m,TC_per80m,TC_per80m,DB_per80m,DB_per80m,TA_per80m,TA_per80m,O_per80m,O_per80m,CB_per80m,CB_per80m,LW_per80m,LW_per80m,LS_per80m,LS_per80m,DB_per_Break_per80m,DB_per_Break_per80m,Meters_per_Carry_per80m,Meters_per_Carry_per80m,%Successful_per80mackles_per80m,%Successful_per80mackles_per80m,%Turnovers_Won_per80m,%Turnovers_Won_per80m
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
PlayGuid,pos_num_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AW534917,8.0,15.523367864648685,14.25756674859009,5.825072482872623,2.5507090233376744,2.674957947802132,1.8240815370469072,9.777574834984243,4.83246392626815,0.7974220781170689,0.7329142186600308,0.28505852194965803,0.5331217846968387,0.5699497129262371,0.8648111892320954,0.535058521949658,0.7882437778676781,0.0,0.0,0.125,0.3535533905932738,0.3924455954882895,0.543336187403026,3.04199507689928,3.5815978327543765,0.0,0.0,0.0888888888888889,0.14596271660409715,2.8805555555555555,2.9804048468532565,0.9298566017316018,0.06360728760090194,0.1875,0.37201190457142247
AW666449,1.0,8.327119203239105,11.896869868862492,2.941154790075199,1.7071757593034513,1.9803516536774777,2.103137295885335,8.990958530018569,4.607747246535356,1.2047874316761387,1.3275023718177854,0.061714175346872624,0.2828098799788214,0.35259266113788773,0.8158800609057177,0.2682834666862994,0.698699989018856,0.0,0.0,0.05957034758978495,0.27298562700501966,0.15108072864172004,0.4917579727764612,0.0,0.0,0.05587174482960571,0.25603649989092575,0.0634920634920635,0.16224287757171754,2.1031746031746033,2.975700753359614,0.8534037391180249,0.18128861710431188,0.047619047619047616,0.2182178902359924
BC715151,10.0,11.605673690240708,13.57184892061826,3.7257625958986806,2.9145953122692587,10.20593558244345,10.50951554125596,4.762353562945438,3.9701737205479652,0.5556765169777762,1.0803929380781498,0.058823529411764705,0.24253562503633297,1.0112502972751418,1.0372192914530864,0.7260169385380779,1.4517897310493022,0.18899845309478927,0.42169671994439745,0.0,0.0,0.11764705882352941,0.3321055820775357,0.058823529411764705,0.24253562503633297,0.0,0.0,0.12745098039215688,0.27341342681145764,2.4725490196078432,3.065335655313878,0.6970121381886089,0.41917456979762385,0.029411764705882353,0.12126781251816648
BC789861,7.0,14.252148150728715,15.409823904254742,6.6192446855521885,4.38838097988594,5.834722671074435,3.638825230735367,13.99735740153376,5.199952154000659,1.854122757298505,1.8637625671981042,1.2813611438083476,1.2383296850895333,1.0127994620894587,1.182048460600394,0.8287043589652954,1.1143251874766913,0.06666666666666667,0.2581988897471611,0.470290228555977,0.9121180215947454,0.2093043175937544,0.43437010146763505,0.12467158203005538,0.48285096094773633,0.07390981223922542,0.28625147192383715,0.12222222222222222,0.18057081742579587,1.6226190476190474,1.2484315556755001,0.8969722942271962,0.09804013673260299,0.5111111111111111,0.4475092739425076
BD596167,7.0,9.579467843070551,13.684894352055982,5.711514044803043,2.887655871954727,2.785383536274954,1.1279529281037841,8.959053320360393,2.3563738616047973,1.7142163586641217,1.182733450571952,0.41870240020527594,0.6685689486756711,0.7520357335386093,0.8824336720885815,0.5711671776108326,0.8939593230181427,0.0,0.0,0.25203573353860925,0.6173589441176577,0.0,0.0,0.25203573353860925,0.6173589441176577,0.0,0.0,0.075,0.11726039399558573,1.325,1.9477551180782453,0.8413961038961039,0.10685592235821935,0.25,0.4183300132670378
BE558129,7.0,40.01412960111421,24.917917144584713,8.788389286471476,4.674265023231333,4.2064460321129635,3.971367449374633,16.978580051948647,6.597774549179001,1.7618271872280227,1.485893996376883,0.8167456675755768,1.2232380710523734,0.8161622249541047,0.8805554497913645,1.8369372520618215,1.726546677136303,0.24505870287971546,0.6086986317956498,0.5145181901925353,0.7942391597907552,0.5144649786706013,0.6698021334414886,0.2621605963179762,0.4512367372684409,0.13515857319949484,0.3573220001727508,0.19626629409238106,0.17094127257682626,4.660499162673076,2.5650917800479647,0.90643064578728,0.07703719058954407,0.43478260869565216,0.46598741267839366
BH450815,1.0,1.0981853542438536,1.3942119737799734,3.952101317222348,3.144006842971913,1.3479249196715781,2.522647354039847,8.537974269992464,5.0474795126666505,0.4412973065629085,1.1675629274080876,0.34425186686047093,0.9108048280825239,0.74174770169204,1.051267349901377,0.0,0.0,0.0,0.0,0.4646239094716114,1.2292793176364716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19047619047619047,0.2439750182371333,0.8181818181818182,0.37482778414706003,0.14285714285714285,0.37796447300922725
BH665005,15.0,18.441658782028433,14.210703795666545,5.155928180327239,3.1823091490360493,4.576908481232336,2.6480349252035276,2.43978299969264,2.8569098353316122,1.0,1.5491933384829668,0.09090909090909091,0.30151134457776363,0.6477261908477978,0.8306944697579247,0.5681796544228683,1.3605582814566857,0.2807462895053035,0.9311301035735838,0.09090909090909091,0.30151134457776363,0.09659036815117163,0.3203540095197305,0.09090909090909091,0.30151134457776363,0.0,0.0,0.10303030303030303,0.2518617546082442,3.352380952380952,3.0132075104668425,0.5692640692640694,0.38472161290898493,0.045454545454545456,0.15075567228888181
BJ830229,12.0,41.31906219992895,25.156385937036468,9.710943755473698,4.439641179728608,8.495980079301964,5.249976058180321,7.666479877794084,4.4333942800945945,1.9460899689394835,1.6742242542669576,0.7670454078598562,0.7774296244786303,1.2356482792181578,1.6822015033627664,2.4593350697119174,2.009255465376549,0.09523809523809523,0.30079260375911915,0.9798669511328694,1.2664944400122422,0.6310918018590683,0.9983404123472641,0.14285714285714285,0.35856858280031806,0.0,0.0,0.2338189432727248,0.20744967848693374,4.020461832751749,1.9202115422858141,0.7868405056374981,0.23743469530907568,0.3642857142857143,0.3867343947252327
BL428925,14.0,60.285714285714285,22.447823099462493,8.714285714285714,3.5456210417116734,1.8571428571428572,0.6900655593423541,4.142857142857143,1.6761634196950514,1.0,1.0,0.2857142857142857,0.7559289460184545,0.8571428571428571,1.0690449676496976,3.0,2.309401076758503,0.14285714285714285,0.37796447300922725,0.8571428571428571,0.6900655593423543,0.8571428571428571,0.6900655593423541,0.0,0.0,0.0,0.0,0.4706959706959707,0.506151307033996,8.462759462759461,5.223693743316969,0.8321428571428571,0.18298126367785,0.14285714285714285,0.37796447300922725
BM108753,7.0,16.83211774125807,15.54167922081441,7.015868110118798,5.918742879832983,2.139417515990492,2.151153211243699,8.463215760299047,4.915652582688374,0.9750324097582052,1.4145704979085174,0.0,0.0,0.500254712685807,1.323549561954714,0.8823454813023826,2.334466713967696,0.14285714285714285,0.37796447300922725,0.14285714285714285,0.37796447300922725,0.4411727406511913,1.167233356983848,0.3088174199647705,0.5294683612185129,0.0,0.0,0.2857142857142857,0.7559289460184545,3.255411255411255,5.226155850316357,0.860930735930736,0.24418076440168493,0.0,0.0
BM181390,8.0,22.982637387124743,17.123659520537956,9.091305455760482,3.999095003985501,4.858905852146171,3.101903750721671,12.028518472861165,4.65264553285062,1.4696490150028307,1.77510953993556,0.3215962760688757,0.5865699096425919,0.642869869870995,0.8871658206553623,1.22447577543584,1.1527133692963498,0.0,0.0,0.7413089977405747,1.0669624079221813,0.08333333333333333,0.2886751345948129,0.09979735068290464,0.3457081636871189,0.0,0.0,0.11725172975172976,0.10426388054328582,2.519047619047619,1.5793974921804714,0.9003194953194954,0.08832133776481142,0.19444444444444442,0.38816671762710503
BM645592,1.0,1.2505973754002553,2.652959569063378,3.3170146747154936,1.8313152154159027,1.3026679184203702,1.4516975197656745,2.9539919733518913,3.5383488761021846,0.9032589069922736,1.7558460388626955,0.0,0.0,0.39219774692549525,0.8534609092374099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8432740427115678,0.4916666666666667,0.4521041341860835,0.0,0.0
