,M,C,P,T,MT,TW,TC,DB,TA,O,CB,LW,LS,at_home,p_name,min_played,is_sub,pos_num_x,PlayGuid,M_per80m,C_per80m,P_per80m,T_per80m,MT_per80m,TW_per80m,TC_per80m,DB_per80m,TA_per80m,O_per80m,CB_per80m,LW_per80m,LS_per80m,Meters_per_Carry_per80m,%Successful_per80mackles_per80m,%Turnovers_Won_per80m,DB_per_Break_per80m,pos_num_y
6066,11,8,0,3,0,0,0,0,0,0,0,0,0,0,Patrick Schickerling,32,1,3,PS260881,19.671802673509156,14.306765580733932,0.0,5.365037092775224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.375,1.0,0.0,0.0,3.0
6067,0,1,1,0,2,0,0,0,0,0,0,1,0,0,Dafydd Jenkins,21,1,4,DJ972220,0.0,2.4097630680232967,2.4097630680232967,0.0,4.819526136046593,0.0,0.0,0.0,0.0,0.0,0.0,2.4097630680232967,0.0,0.0,0.0,0.0,0.0,5.0
6068,1,1,0,0,1,0,0,0,0,0,0,0,0,0,Santiago Grondona,19,1,6,SG581140,2.592151694672487,2.592151694672487,0.0,0.0,2.592151694672487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0
6069,32,6,25,2,1,1,0,1,0,1,1,0,0,0,Stu Townsend,25,1,9,ST143493,68.03308738329318,12.756203884367473,53.150849518197795,4.252067961455824,2.126033980727912,2.126033980727912,0.0,2.126033980727912,0.0,2.126033980727912,2.126033980727912,0.0,0.0,5.333333333333332,0.6666666666666666,1.0,0.16666666666666663,9.0
6070,0,0,3,0,0,0,0,0,0,0,0,0,0,0,Joe Simmonds,6,1,11,JS753060,0.0,0.0,18.82407210658958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
6071,29,1,0,0,0,0,1,0,0,0,1,0,0,0,Josh Hodge,14,1,14,JH501596,94.31865362273712,3.25236736630128,0.0,0.0,0.0,0.0,3.25236736630128,0.0,0.0,0.0,3.25236736630128,0.0,0.0,29.0,0.0,0.0,0.0,15.0
6072,114,11,10,7,0,2,0,4,1,1,2,0,0,1,George Furbank,58,0,15,GF915654,137.97194274877776,13.313082195057504,12.102801995506823,8.471961396854775,0.0,2.4205603991013644,0.0,4.841120798202729,1.2102801995506822,1.2102801995506822,2.4205603991013644,0.0,0.0,10.363636363636363,1.0,1.0,0.36363636363636365,15.0
6073,54,9,3,8,0,0,1,4,0,0,0,0,0,1,Matt Proctor,69,0,14,MP925514,58.82943971849654,9.804906619749422,3.268302206583141,8.715472550888377,0.0,0.0,1.089434068861047,4.357736275444188,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.44444444444444453,13.0
6074,18,5,5,8,2,0,0,1,0,0,0,0,0,1,Fraser Dingwall,52,0,13,FD904134,23.32795828111785,6.479988411421625,6.479988411421625,10.3679814582746,2.59199536456865,0.0,0.0,1.295997682284325,0.0,0.0,0.0,0.0,0.0,3.6,0.8,0.0,0.2,12.0
6075,71,10,13,7,5,0,2,3,0,3,0,0,0,1,Rory Hutchinson,80,0,12,RH318511,71.0,10.0,13.0,7.0,5.0,0.0,2.0,3.0,0.0,3.0,0.0,0.0,0.0,7.1,0.5833333333333334,0.0,0.3,12.0
6076,103,8,3,5,1,0,2,5,0,0,3,0,0,1,Tommy Freeman,80,0,11,TF846529,103.0,8.0,3.0,5.0,1.0,0.0,2.0,5.0,0.0,0.0,3.0,0.0,0.0,12.875,0.8333333333333334,0.0,0.625,14.0
