PlayGuid,pos_num_y,T_per80m|mean,T_per80m|std,TA_per80m|mean,TA_per80m|std,C_per80m|mean,C_per80m|std,P_per80m|mean,P_per80m|std,DG_per80m|mean,DG_per80m|std,M_per80m|mean,M_per80m|std,CA_per80m|mean,CA_per80m|std,MK_per80m|mean,MK_per80m|std,PM_per80m|mean,PM_per80m|std,O_per80m|mean,O_per80m|std,BTs_per80m|mean,BTs_per80m|std,Kon_per80m|mean,Kon_per80m|std,TM_per80m|mean,TM_per80m|std,MT_per80m|mean,MT_per80m|std,TW_per80m|mean,TW_per80m|std,TC_per80m|mean,TC_per80m|std,HE_per80m|mean,HE_per80m|std,PC_per80m|mean,PC_per80m|std,OPC_per80m|mean,OPC_per80m|std,SPC_per80m|mean,SPC_per80m|std,LW_per80m|mean,LW_per80m|std,LS_per80m|mean,LS_per80m|std,YC_per80m|mean,YC_per80m|std,RC_per80m|mean,RC_per80m|std,TS(%)_per80m|mean,TS(%)_per80m|std,TW(%)_per80m|mean,TW(%)_per80m|std,MpCA_per80m|mean,MpCA_per80m|std
EP413386,15,0.2,0.4472135954999579,0.22172943671767625,0.49580209311346196,0.0,0.0,0.6,0.8944271909999159,0.0,0.0,40.21241338664896,20.265429546383483,5.97383549374141,2.0753768597532725,113.77559509736098,108.25912171514655,5.039023803894439,4.7634578674010175,0.42172943671767626,0.5787529673158073,0.4,0.5477225575051662,0.0,0.0,4.086917746870705,0.7333303986644764,1.8217294367176762,1.0765230924903493,0.0,0.0,0.8217294367176763,0.46176353305471796,0.0,0.0,0.2,0.447213595499958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7092857142857142,0.10514809769548662,0.0,0.0,6.527380952380952,1.4704525581002545
FB999044,3,1.2549381404393054,2.806126989579465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.685876901622741,9.167455464865707,4.4692478794635635,2.5513486282230624,0.0,0.0,0.9109133593195852,1.2670346975836948,0.39248302038508776,0.8776187135954918,0.0,0.0,0.0,0.0,10.186247474406352,6.1981052936655034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6419440865713266,1.6163670396897007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,2.8333333333333335,1.1055415967851334
FC939898,6,0.21249880993257758,0.47516178414705096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.312686468530464,7.603528135099828,3.263682035800948,1.3287935967321012,0.0,0.0,0.2,0.447213595499958,0.2,0.447213595499958,0.2,0.447213595499958,0.21249880993257758,0.47516178414705096,13.635930986852514,1.612586587853751,0.8232941664382759,0.4611654370238723,0.41079535650569826,0.5628283338363244,0.4124988099325776,0.5652692421736034,0.21249880993257758,0.47516178414705096,0.21079535650569822,0.47135274648804376,0.0,0.0,0.0,0.0,1.4232941664382759,1.1303682190543067,0.21079535650569822,0.47135274648804376,0.0,0.0,0.0,0.0,0.9452316311139841,0.031328826519548,0.5,0.5,3.9166666666666665,2.0395397084200693
FR364036,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.272424215592757,10.135918917170248,3.9821669399067687,1.2616515492133415,0.0,0.0,5.73030486701281,2.843955349492098,0.0,0.0,0.828494645865739,0.8885626943622414,0.22579262781942472,0.5048876646225438,10.481751714024105,2.6250232565293983,0.2197816898678573,0.4914467987543057,0.44003995075229413,0.6028950702127102,0.877377883458274,1.4681672395415035,0.44557431768728206,0.6102202853390061,0.8482763357335962,0.8944170740755283,0.43402901280072675,0.5943992229265906,0.0,0.0,5.962108432783802,2.314269323747287,0.22579262781942472,0.5048876646225438,0.0,0.0,0.0,0.0,0.9714285714285715,0.06388765649999402,0.4166666666666667,0.5204164998665332,5.81,2.5025986494042547
FR608838,10,0.0,0.0,0.6297642998975906,0.9280258364792053,1.2584163005351066,1.6898888206948972,1.5062085833731818,1.8043830273802228,0.0,0.0,30.095304315873562,24.813746511846865,5.163019311148835,3.3119962049176483,327.84835820674033,145.0143118700269,24.637068925255317,14.582280786280222,1.0703643712446254,1.2626893873053409,0.8704349558287628,0.9132127045138172,0.234661328284344,0.5247186817341872,4.493696654580146,3.8788329935264043,1.082312441954144,1.0616249709484562,0.0,0.0,0.6584868851192439,0.6032742583571036,1.7516350985228322,1.326390933356191,0.21788681377220942,0.4872097269954977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21788681377220942,0.4872097269954977,0.0,0.0,0.8095238095238095,0.2109529184127304,0.0,0.0,5.373333333333333,2.2143973346162507
FS380018,15,0.2,0.4472135954999579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.2,57.60381931781954,9.2,3.5637059362410923,51.4,30.088203668547578,2.6,3.1304951684997055,0.2,0.4472135954999579,0.8,0.8366600265340756,0.2,0.4472135954999579,2.6,2.1908902300206643,1.2,0.8366600265340756,0.0,0.0,1.0,0.7071067811865476,0.4,0.5477225575051662,0.4,0.5477225575051661,0.0,0.0,0.0,0.0,0.2,0.4472135954999579,0.0,0.0,0.0,0.0,0.0,0.0,0.6095238095238096,0.25676780408653166,0.0,0.0,10.171428571428573,2.0327115141537524
GA508879,8,0.0,0.0,0.4178868137722095,0.5730880483773175,0.0,0.0,0.0,0.0,0.0,0.0,66.76242660286974,31.864540133993348,13.677228809002278,6.069019286187852,0.0,0.0,5.748925138547112,1.8848198937954141,1.4357736275444188,0.927393769363943,1.479453069136053,1.2260149024497853,0.45158525563884944,1.0097753292450875,11.080473857507974,1.9331220218513714,1.4615662553638438,1.1555458165872456,1.2436794415916341,0.8257922851187781,0.8515852556388495,1.1696413808997934,1.2515852556388496,1.3477669324754655,1.2436794415916341,0.8257922851187781,0.0,0.0,0.0,0.0,1.2536604413166281,1.7192641451319526,0.0,0.0,0.0,0.0,0.0,0.0,0.8950641025641026,0.07195766228191573,0.7083333333333334,0.3435921354681384,4.986713286713287,1.255664460289092
GF207020,13,0.4,0.5477225575051662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.6,11.414902540100814,5.4,1.816590212458495,17.4,23.147354060453647,6.4,2.5099800796022267,0.8,1.3038404810405297,1.6,1.51657508881031,0.2,0.4472135954999579,9.0,1.4142135623730951,1.0,1.224744871391589,0.8,0.8366600265340756,0.6,0.5477225575051661,0.8,0.4472135954999579,0.6,0.5477225575051661,0.2,0.447213595499958,0.0,0.0,0.2,0.447213595499958,0.0,0.0,0.0,0.0,0.0,0.0,0.9033333333333333,0.12270108212870641,0.5555555555555555,0.09622504486493759,7.305,2.2651005619079156
GF392165,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8134442288218313,6.291052546550089,0.5626888457643663,1.2582105093100175,0.0,0.0,7.793845294325505,8.559606985534666,0.0,0.0,0.0,0.0,0.0,0.0,4.068382369261137,6.214896994579415,0.5626888457643663,1.2582105093100175,0.0,0.0,0.0,0.0,0.0,0.0,1.2549381404393054,2.806126989579465,1.2549381404393054,2.806126989579465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9166666666666667,0.11785113019775786,,,5.0,
GG620359,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.081678705705407,10.998004616495374,5.388315882666374,0.9222042823147719,0.0,0.0,3.4703856120883136,2.239589197031676,0.4,0.5477225575051661,0.2,0.447213595499958,0.4,0.5477225575051661,11.300404094577624,4.271367627466891,0.2,0.4472135954999579,0.49707897066659373,0.6824196720578132,0.4,0.5477225575051661,1.234661328284344,1.090264359799954,1.0970789706665935,0.7211644422817881,0.0,0.0,0.0,0.0,2.2346613282843437,1.6130787499496555,0.234661328284344,0.5247186817341872,0.0,0.0,0.0,0.0,0.9875,0.027950849718747367,0.5,0.5773502691896257,3.5942857142857143,1.301092555022391
