idPlayer,playguid,name,most_common_position_num,games_played,m_tries,s_tries,m_try_assist,s_try_assist,m_conversions,s_conversions,m_penalty_goals,s_penalty_goals,m_meters_made,s_meters_made,m_carries,s_carries,m_passes_made,s_passes_made,m_offloads,s_offloads,m_tackles_made,s_tackles_made,m_missed_tackles,s_missed_tackles,m_turnovers_won,s_turnovers_won,m_turnovers_conceded,s_turnovers_conceded,m_lineouts_won,s_lineouts_won,m_lineouts_stolen,s_lineouts_stolen,m_defenders_beaten,s_defenders_beaten,m_clean_breaks,s_clean_breaks,elo_score,defense_score,attack_score,open_score
1418,VP772749,"Vincent Pinto",15,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,44.6667,31.5331,6.3333,4.0415,4.6667,1.5275,0.6667,0.5774,5.0000,1.7321,1.6667,1.1547,0.0000,0.0000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.3333,0.5774,1152.4370,0.0109,0.3664,0.1205
1419,EB197863,"Eoghan Barrett",13,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.3333,14.6401,3.1100,1.6451,1.3333,1.5275,0.0000,0.0000,3.6667,3.2146,1.4433,0.7679,0.3333,0.5774,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0000,0.0000,1163.6112,0.0084,0.2845,0.0695
1420,VT142340,"Vaea Tutuila Vaea",13,2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.8431,9.9023,4.4397,0.5677,1.2782,0.0960,0.6051,0.8558,6.6625,7.7106,1.2782,0.0960,0.0000,0.0000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0000,0.0000,1178.8461,0.0090,0.2469,0.1104
1421,JV819958,"Jale Vatubua",12,3,0.3333,0.5774,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,33.2276,27.8999,6.9471,4.4141,3.8536,1.8717,1.7602,1.0829,9.1747,2.8531,2.1870,1.0511,0.0000,0.0000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.6667,0.5774,1158.7665,0.0103,0.3265,0.1160
1422,DI387308,"Daniel Ikpefan",11,2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,32.1542,5.8749,4.9206,0.1123,0.6051,0.8558,0.0000,0.0000,5.5257,0.7435,1.1051,0.1487,1.1051,0.1487,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0000,0.0000,1171.9883,0.0114,0.3163,0.1456
1423,AD347067,"Alexandre Dumoulin",10,1,0.0000,NULL,0.0000,NULL,0.0000,NULL,0.0000,NULL,52.2928,NULL,6.5366,NULL,14.1626,NULL,0.0000,NULL,6.5366,NULL,1.0894,NULL,0.0000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0000,NULL,1185.5204,0.0148,0.3493,0.0954
1424,AL798641,"Alexis Levron",9,3,0.3333,0.5774,1.1100,1.1689,0.6667,1.1547,0.3333,0.5774,14.4459,8.2408,4.1954,2.0039,47.5981,8.1983,1.1718,1.1651,2.6286,0.8197,0.6667,1.1547,0.0000,0.0000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0000,0.0000,1167.6513,0.0080,0.2549,0.0662
1425,RS486619,"Remi Seneca",1,2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.8052,0.7421,3.6105,1.4843,3.0857,1.0687,0.0000,0.0000,11.3562,7.0058,0.6402,0.9054,0.6402,0.9054,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0000,0.0000,1185.0400,0.0058,0.1680,0.0851
1426,RB686111,"Rayne Barka",2,2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21.1764,10.0286,5.9261,1.1374,1.3461,1.9036,0.0000,0.0000,11.8851,4.1321,4.5144,4.4807,0.0000,0.0000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0000,0.0000,1179.4475,0.0087,0.2363,0.1038
1427,KY229430,"Kevin Yameogo",3,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.8175,12.1757,5.2314,3.1445,0.6711,1.1624,0.0000,0.0000,1.9099,0.5200,1.4613,1.2780,0.4487,0.7772,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0000,0.0000,1172.7390,0.0060,0.2097,0.0563
