idPlayer,idMatch,position_num,mins_played,tries,try_assists,conversions,penalty_goals,meters_made,carries,passes_made,offloads,tackles_made,missed_tackles,turnovers_won,turnovers_conceded,lineouts_won,lineouts_stolen,defemders_beaten,clean_breaks,at_home,is_sub
1350,271,12,80,0,0,0,0,31,7,9,0,4,2,1,3,0,0,1,0,0,0
1227,271,11,80,1,0,0,0,66,8,3,1,3,0,0,1,0,0,5,3,0,0
1226,271,10,80,0,1,0,0,29,4,31,0,2,2,0,2,0,0,1,0,0,0
67,271,9,57,0,0,0,0,54,2,38,0,6,1,2,2,0,0,5,1,0,0
1221,271,1,57,0,0,0,0,3,3,0,0,2,0,0,0,0,0,0,0,0,0
1220,271,2,57,0,0,0,0,12,9,3,0,4,0,0,2,0,0,0,0,0,0
1427,271,3,49,0,0,0,0,5,2,1,0,5,0,0,1,0,0,0,0,0,0
1571,271,4,80,0,0,0,0,8,4,13,2,7,0,0,0,8,1,0,0,0,0
1355,271,5,59,0,0,0,0,9,7,5,0,3,1,0,0,2,1,0,0,0,0
1351,271,6,80,0,0,0,0,28,6,2,0,5,0,2,0,1,0,3,0,0,0
1572,271,7,80,0,0,0,0,35,7,4,0,7,1,0,2,0,0,0,0,0,0
1352,271,8,80,1,0,0,0,37,14,4,0,3,0,0,0,0,0,1,0,0,0
1353,271,2,23,0,0,0,0,6,1,0,0,2,0,1,0,0,0,0,0,0,1
181,271,1,23,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,1
1214,271,3,31,2,0,0,0,18,7,0,0,0,0,0,0,0,0,1,0,0,1
1215,271,5,21,0,0,0,0,3,4,2,0,1,1,0,0,2,0,1,0,0,1
1430,271,9,23,0,0,0,0,19,1,31,0,2,2,0,0,0,0,0,0,0,1
1208,271,13,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1207,271,15,6,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1
394,272,15,47,0,0,0,0,13,3,0,0,2,0,0,0,0,0,0,0,1,0
1573,272,14,80,1,0,0,0,33,9,2,0,2,4,0,2,0,0,3,1,1,0
414,272,13,80,0,0,0,0,8,5,12,4,5,4,1,1,0,0,1,0,1,0
901,272,12,80,0,0,0,0,22,13,5,1,4,1,0,0,0,0,0,0,1,0
398,272,11,80,0,0,0,0,46,5,1,1,4,1,0,1,0,0,3,0,1,0
396,272,10,70,0,0,0,1,20,3,17,0,5,0,1,3,0,0,2,1,1,0
400,272,9,38,0,1,0,0,59,3,20,1,1,0,0,1,0,1,2,2,1,0
401,272,1,51,0,0,0,0,0,1,2,0,7,0,1,1,0,0,0,0,1,0
903,272,2,52,1,0,0,0,34,5,3,3,4,0,0,0,0,0,1,0,1,0
403,272,3,69,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0
904,272,4,80,0,0,0,0,16,4,2,1,6,1,0,1,1,0,3,0,1,0
411,272,5,80,0,0,0,0,6,4,3,0,7,2,1,1,9,0,1,0,1,0
1574,272,6,80,0,0,0,0,40,11,4,0,7,0,0,0,0,0,0,0,1,0
406,272,7,26,0,0,0,0,0,1,0,0,4,1,0,0,0,0,0,0,1,0
832,272,8,80,0,0,0,0,7,8,5,0,13,0,0,1,3,0,2,0,1,0
